epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,6387.26,0.43975,0.27406,0.88103,0.99958,1,0.995,0.94169,0.32295,0.21613,0.79244,0.0002774,0.0002774,0.0002774
89,6453.15,0.42251,0.27618,0.85837,0.99957,1,0.995,0.94659,0.31426,0.20855,0.78755,0.0002576,0.0002576,0.0002576
90,6510.99,0.41515,0.27635,0.88958,0.99958,1,0.995,0.94645,0.30222,0.20265,0.78297,0.0002378,0.0002378,0.0002378
91,6569.87,0.39561,0.30654,0.81061,0.99958,1,0.995,0.94606,0.29259,0.20122,0.77909,0.000218,0.000218,0.000218
92,6638.41,0.35137,0.25245,0.81616,0.99958,1,0.995,0.94618,0.29016,0.21629,0.77322,0.0001982,0.0001982,0.0001982
93,6704.91,0.35346,0.24096,0.84516,0.99958,1,0.995,0.94717,0.27808,0.22115,0.77228,0.0001784,0.0001784,0.0001784
94,6761.4,0.33165,0.24114,0.81862,0.99958,1,0.995,0.9485,0.27911,0.21625,0.77342,0.0001586,0.0001586,0.0001586
95,6834.86,0.35618,0.23986,0.8335,0.99957,1,0.995,0.94898,0.2846,0.2196,0.77406,0.0001388,0.0001388,0.0001388
96,6892.43,0.35285,0.2259,0.83116,0.99958,1,0.995,0.94776,0.29768,0.2058,0.77673,0.000119,0.000119,0.000119
97,6957.47,0.31778,0.22107,0.86096,0.99958,1,0.995,0.94894,0.2946,0.20161,0.77617,9.92e-05,9.92e-05,9.92e-05
98,7027.98,0.33679,0.2308,0.8464,0.99957,1,0.995,0.95079,0.2873,0.20078,0.77396,7.94e-05,7.94e-05,7.94e-05
99,7083.36,0.35449,0.21667,0.80978,0.99958,1,0.995,0.95261,0.28675,0.20106,0.77432,5.96e-05,5.96e-05,5.96e-05
100,7151.81,0.38583,0.26973,0.83969,0.99958,1,0.995,0.95198,0.28369,0.19535,0.77399,3.98e-05,3.98e-05,3.98e-05
